City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
107,Camabatela,AO,61.12,overcast clouds,-8.1881,15.375,Pensão E Restaurantes
108,Kirkuk,IQ,48.69,scattered clouds,35.4681,44.3922,Cihad Oteli
110,Dingle,PH,76.39,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
111,Mar Del Plata,AR,75.22,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
112,Mahebourg,MU,75.49,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
113,Hirara,JP,62.87,few clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
114,Hualmay,PE,72.46,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
115,Punta Cardon,VE,78.08,overcast clouds,11.6581,-70.215,Bambuda hotel
119,Colares,PT,59.99,overcast clouds,38.7992,-9.4469,Arribas Sintra Hotel
121,Grand Gaube,MU,75.6,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
123,Flagstaff,US,60.67,clear sky,35.1981,-111.6513,Drury Inn & Suites Flagstaff
125,Waipawa,NZ,70.45,light rain,-41.4122,175.5153,Tora Coastal Walk
126,Kano,NG,64.29,broken clouds,12.0001,8.5167,Havana Guest Inn
128,San Patricio,US,72.54,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
130,Lagoa,PT,58.68,overcast clouds,39.05,-27.9833,Casa Das Faias
131,Douglas,US,54.14,scattered clouds,41.3,-96.167,Hilton Garden Inn Omaha West
132,Harrisonburg,US,52.18,clear sky,38.4496,-78.8689,Hampton Inn Harrisonburg - University
133,Pakokku,MM,63.39,clear sky,21.3333,95.1,Royal Palace Motel
134,Dobsice,CZ,47.75,broken clouds,48.8483,16.0822,Hotel Morava
135,Saint George,US,69.44,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
138,Lebu,CL,58.64,scattered clouds,-37.6167,-73.65,Hostal Las Lilas
139,Castro,BR,65.75,few clouds,-24.7911,-50.0119,CHACARA BAILLY
142,Waingapu,ID,77.41,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
143,Dunedin,NZ,67.8,scattered clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
146,Necochea,AR,71.04,light rain,-38.5473,-58.7368,dyd -mar Hotel
147,Antalaha,MG,73.98,few clouds,-14.9003,50.2788,Hotel Vitasoa
149,Gashua,NG,65.41,clear sky,12.871,11.0482,Forte Oil - Old Lorry Park
151,Boyolangu,ID,74.62,overcast clouds,-8.1181,111.8935,Yos ega cv
153,Los Llanos De Aridane,ES,69.12,clear sky,28.6585,-17.9182,Valle Aridane
158,Salalah,OM,68.4,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
159,Atambua,ID,73.99,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
161,Bom Jesus,BR,79.99,overcast clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
163,Bethel,US,47.91,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
164,Gurupa,BR,74.41,overcast clouds,-1.405,-51.64,Hotel Vitória
166,Clermont,FR,40.12,overcast clouds,49.5,2.4167,"gîte et chambres d'hôtes"" Le Manoir Enchanté"" de Mme Doumayrou"
167,Vincennes,FR,41.86,clear sky,48.85,2.4333,Aparthotel Adagio Paris Vincennes
169,Kaitangata,NZ,64.8,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
170,Ulladulla,AU,67.87,overcast clouds,-35.35,150.4667,Sandpiper Motel
172,Boma,GH,75.2,clear sky,7.0805,-2.1697,Obaatanpa Hotel
176,Hilo,US,79.25,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
180,Moerai,PF,79.77,overcast clouds,-22.4333,-151.3333,Le Manotel
185,Lata,PT,52.72,overcast clouds,40.1629,-8.3327,Casa Maquia
186,Caravelas,BR,77.88,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
187,Port Elizabeth,ZA,62.89,clear sky,-33.918,25.5701,39 On Nile Guest House
188,Ribeira Grande,PT,59.83,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
190,Coihaique,CL,57.81,few clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
191,Den Helder,NL,43.02,overcast clouds,52.9599,4.7593,Hotel Den Helder
192,Betioky,MG,74.17,few clouds,-23.7167,44.3833,Bungalows Acacias Hotel
196,Naze,JP,56.32,broken clouds,28.3667,129.4833,Shishime Hotel
197,Rapid Valley,US,61.07,overcast clouds,44.0625,-103.1463,Fairfield Inn & Suites by Marriott Rapid City
198,Kondoa,TZ,60.8,overcast clouds,-4.9,35.7833,Bab Al Shams Inland Lodge
